geoarea,status,region,subregion,geoarea_esri,iso-alpha3,economy,sids,economy_sids,un_region_code,un_region_name,un_subregion_code,un_subregion_name,un_intermediate_region_code,un_intermediate_region_name,un_area,m49_code,mrgid,eez_area,total_eez_area,eez_deeper_than_200,eez_area_0_to_200m,eez_area_200_to_1000m,eez_area_1000_to_2000m,eez_area_2000_to_4000m,eez_area_4000_to_6000m,eez_area_deeper_than_6000m,pct_eez_deeper_than_200,no_ocean,has_ocean,has_ocean_no_deep,has_ocean_deep,ocean_status,50_percent_or_more,90_percent_or_more,Depth_200_PCT,Depth_200_1000_PCT,Depth_1000_2000_PCT,Depth_2000_4000_PCT,Depth_4000_6000_PCT,Depth_6000_PCT,num_survey,num_survey_geo,num_research_geo,survey_research,survey_alone,research_alone,no_data,yes_data,data_sources,no_research_why,check,geoarea eez check,Sovereign,income_group_wb,has_deep_ocean,,dscsr-all,dscsr-imp,dscsr-tools,dscsr-exp,dscsr-group,dscsr-group-imp,dscsr-group-tools,dscsr-group-exp,dsc-pi-all,dsc-pi-vessel,dsc-pi-dsv,dsc-pi-sensor,dsc-pi-data,dsc-pi-org,dsc-pi-ind,dsc-ai-all,dsc-ai-vessel,dsc-ai-dsv,dsc-ai-sensor,dsc-ai-data,dsc-si-all,dsc-si-vessel,dsc-si-dsv,dsc-si-sensor,dsc-si-data,dsc-index-group
Egypt,Sovereign,Africa,Northern Africa,Egypt,EGY,Developing,,Developing,2,Africa,15,Northern Africa,,,Egypt,818,8490,Egypt,241433.8157,196266.8869,45166.92873,60482.93952,54102.95641,81680.99101,0,0,81.29,0,1,0,1,has_ocean_deep,TRUE,FALSE,19,25,22,34,0,0,4,1,1,1,0,0,0,1,survey_research,,1,Egypt,Egypt,Lower middle income,1,,3,3,2,3,C,2.40,2.00,3.40,4,5,2,5,5,5,5,2,2,1,3,3,3,3,2,3,2,C
Tanzania,Sovereign,Africa,Eastern Africa,Tanzania,TZA,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,United Republic of Tanzania,834,8479,Tanzania,239849.7421,222550.2476,17299.49457,19933.39752,39901.89823,161956.4864,758.4654575,0,92.79,0,1,0,1,has_ocean_deep,TRUE,TRUE,7,8,17,68,0,0,4,1,1,1,0,0,0,1,survey_research,,1,Tanzania,Tanzania,Lower middle income,1,,2,4,1,2,E,4.25,1.25,1.75,2,5,1,1,5,4,5,2,2,1,2,2,2,1,1,2,2,D
Comoros,Sovereign,Africa,Eastern Africa,Comoros,COM,Developing,SIDS,SIDS,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Comoros,174,8334,Comores,164009.5786,163200.0304,809.54812,1882.690663,4086.941143,157191.4908,38.90782265,0,99.51,0,1,0,1,has_ocean_deep,TRUE,TRUE,0,1,2,96,0,0,5,1,1,1,0,0,0,1,survey_research,,1,Comoros,Comores,Lower middle income,1,,2,4,1,2,E,4.25,1.25,1.75,2,4,1,1,2,5,3,2,2,1,2,2,2,1,1,2,2,D
Kenya,Sovereign,Africa,Eastern Africa,Kenya,KEN,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Kenya,404,8349,Kenya,113225.2275,105444.647,7780.580471,19424.837,14827.0373,64140.38263,7052.390117,0,93.13,0,1,0,1,has_ocean_deep,TRUE,TRUE,7,17,13,57,6,0,5,1,1,1,0,0,0,1,survey_research,,1,Kenya,Kenya,Lower middle income,1,,2,4,1,2,E,4.25,1.25,1.75,4,5,1,5,5,5,5,2,2,1,2,2,2,1,1,2,2,D
Senegal,Sovereign,Africa,Western Africa,Senegal,SEN,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Senegal,686,8371,Senegal,123078.2217,101010.0868,22068.1349,5892.924529,10383.52784,62332.50733,22401.12708,0,82.07,0,1,0,1,has_ocean_deep,TRUE,FALSE,18,5,8,51,18,0,5,1,1,1,0,0,0,1,survey_research,,1,Senegal,Senegal,Lower middle income,1,,3,4,1,3,D,4.50,1.50,3.00,3,5,1,3,5,4,4,2,2,1,2,3,2,1,3,2,1,D
Algeria,Sovereign,Africa,Northern Africa,Algeria,DZA,Developing,,Developing,2,Africa,15,Northern Africa,,,Algeria,12,8378,Algeria,130979.6903,121292.1244,9687.565994,9678.364897,8867.544653,102746.2148,0,0,92.60,0,1,0,1,has_ocean_deep,TRUE,TRUE,7,7,7,78,0,0,6,1,1,1,0,0,0,1,survey_research,,1,Algeria,Algeria,Lower middle income,1,,3,3,2,3,C,2.40,2.00,3.40,4,5,1,5,5,5,5,2,2,1,3,3,3,3,2,3,2,C
Benin,Sovereign,Africa,Western Africa,Benin,BEN,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Benin,204,8393,Benin,35401.03251,32207.49095,3193.541562,764.2634265,1631.924369,22277.76329,7533.539865,0,90.98,0,1,0,1,has_ocean_deep,TRUE,TRUE,9,2,5,63,21,0,7,1,1,1,0,0,0,1,survey_research,,1,Benin,Benin,Lower middle income,1,,3,4,1,3,D,4.50,1.50,3.00,3,4,1,3,5,5,3,2,2,1,2,3,2,1,3,2,1,D
South Africa,Sovereign,Africa,Southern Africa,South Africa,ZAF,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,18,Southern Africa,South Africa,710,8396,South Africa,1546810.144,1386670.532,160139.6114,115610.8199,180424.9239,671323.5016,419311.2866,0,89.65,0,1,0,1,has_ocean_deep,TRUE,FALSE,10,7,12,43,27,0,7,1,1,1,0,0,0,1,survey_research,,1,South Africa,South Africa,Upper middle income,1,,2,3,1,2,F,2.60,1.00,1.80,4,5,3,5,5,5,4,3,2,2,3,3,2,2,2,2,1,C
Morocco,Sovereign,Africa,Northern Africa,Morocco,MAR,Developing,,Developing,2,Africa,15,Northern Africa,,,Morocco,504,8367,Morocco,279732.5905,220348.0567,59384.53385,36807.89785,41049.8439,77545.56837,64944.74659,0,78.77,0,1,0,1,has_ocean_deep,TRUE,FALSE,21,13,15,28,23,0,9,1,1,1,0,0,0,1,survey_research,,1,Morocco,Morocco,Lower middle income,1,,3,3,2,3,C,2.40,2.00,3.40,4,5,3,5,5,5,5,2,2,1,3,3,3,3,2,3,2,C
Somalia,Sovereign,Africa,Eastern Africa,Somalia,SOM,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Somalia,706,8350,Federal Republic of Somalia,779936.4002,732935.7901,47000.61015,69571.88993,94266.00595,259915.8656,309182.0286,0,93.97,0,1,0,1,has_ocean_deep,TRUE,TRUE,6,9,12,33,40,0,9,1,1,1,0,0,0,1,survey_research,,1,Somalia,Federal Republic of Somalia,Low income,1,,2,4,1,2,E,4.25,1.25,1.75,2,5,1,1,5,5,3,2,2,1,2,2,2,1,1,2,2,D
China,Sovereign,Asia,Eastern Asia,China,CHN,Developing,,Developing,142,Asia,30,Eastern Asia,,,China,156,49003,China,1290912.846,450064.1493,840848.697,52717.43258,107406.6244,136023.2425,153916.8498,0,34.86,0,1,0,1,has_ocean_deep,FALSE,FALSE,65,4,8,11,12,0,0,0,1,0,0,1,0,1,research_only,,1,China,China,Upper middle income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,5,5,5,5,4,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B
Democratic People's Republic of Korea,Sovereign,Asia,Eastern Asia,North Korea,PRK,Developing,,Developing,142,Asia,30,Eastern Asia,,,Democratic People's Republic of Korea,408,8328,North Korea,113335.5126,77158.08708,36177.4255,7000.219107,18353.6074,51804.26057,0,0,68.08,0,1,0,1,has_ocean_deep,TRUE,FALSE,32,6,16,46,0,0,0,0,1,0,0,1,0,1,research_only,,1,Democratic People's Republic of Korea,North Korea,Low income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,1,1,2,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B
Lebanon,Sovereign,Asia,Western Asia,Lebanon,LBN,Developing,,Developing,142,Asia,145,Western Asia,,,Lebanon,422,8374,Lebanon,20141.92093,18939.23149,1202.689437,1475.307515,15042.87335,2421.050626,0,0,94.03,0,1,0,1,has_ocean_deep,TRUE,TRUE,6,7,75,12,0,0,0,0,1,0,0,1,0,1,research_only,,1,Lebanon,Lebanon,Upper middle income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,5,1,4,5,1,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,C
Maldives,Sovereign,Asia,Southern Asia,Maldives,MDV,Developing,SIDS,SIDS,142,Asia,34,Southern Asia,,,Maldives,462,8345,Maldives,917974.2986,892201.1151,25773.18356,25942.3618,41871.83029,510013.6241,314373.2989,0,97.19,0,1,0,1,has_ocean_deep,TRUE,TRUE,3,3,5,56,34,0,0,0,1,0,0,1,0,1,research_only,,1,Maldives,Maldives,Upper middle income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,5,3,4,3,3,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,C
Myanmar,Sovereign,Asia,Southeastern Asia,Myanmar,MMR,Developing,,Developing,142,Asia,35,South-eastern Asia,,,Myanmar,104,8482,Myanmar,490986.2322,273279.2616,217706.9706,54688.23023,46348.22759,172242.8038,0,0,55.66,0,1,0,1,has_ocean_deep,TRUE,FALSE,44,11,9,35,0,0,0,0,1,0,0,1,0,1,research_only,,1,Myanmar,Myanmar,Lower middle income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,4,4,3,3,2,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B
Thailand,Sovereign,Asia,Southeastern Asia,Thailand,THA,Developing,,Developing,142,Asia,35,South-eastern Asia,,,Thailand,764,8332,Thailand,294719.4271,67849.60846,226869.8187,58558.06381,6614.867443,2676.677209,0,0,23.02,0,1,0,1,has_ocean_deep,FALSE,FALSE,77,20,2,1,0,0,0,0,1,0,0,1,0,1,research_only,,1,Thailand,Thailand,Upper middle income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,5,3,2,5,4,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B
Brunei Darussalam,Sovereign,Asia,Southeastern Asia,Brunei Darussalam,BRN,Developing,,Developing,142,Asia,35,South-eastern Asia,,,Brunei Darussalam,96,26521,Brunei,42911.30757,34070.39615,8840.911421,2199.665961,19662.20503,12208.52516,0,0,79.40,0,1,0,1,has_ocean_deep,TRUE,FALSE,21,5,46,28,0,0,1,1,1,1,0,0,0,1,survey_research,,1,Brunei Darussalam,Brunei,High income,1,,3,5,2,3,D,4.50,1.50,3.00,2,4,1,2,5,1,3,3,2,1,3,4,3,3,2,4,2,B
Japan,Sovereign,Asia,Eastern Asia,Japan,JPN,Developed,,Developed,142,Asia,30,Eastern Asia,,,Japan,392,8487,Japan,4061463.406,3748138.676,313324.7306,340154.5561,388757.8275,837952.3723,1914494.796,266779.1236,92.29,0,1,0,1,has_ocean_deep,TRUE,TRUE,8,8,10,21,47,7,1,1,1,1,0,0,0,1,survey_research,,1,Japan,Japan,High income,1,,5,5,5,5,A,4.67,5.00,5.00,5,5,5,5,5,4,5,4,2,2,4,4,4,5,2,5,3,B
Palestine,Sovereign,Asia,Western Asia,Palestinian Territory,PSE,Developing,,Developing,142,Asia,145,Western Asia,,,State of Palestine,275,48953,Palestine,1114.733785,348.8865245,765.8472601,348.8865245,0,0,0,0,31.30,0,1,0,1,has_ocean_deep,FALSE,FALSE,69,31,0,0,0,0,1,1,1,1,0,0,0,1,survey_research,,1,Palestine,Palestine,Not classified,1,,3,3,3,3,C,2.40,2.00,3.40,1,2,1,1,3,1,1,3,2,2,4,3,3,2,2,3,3,C
Sri Lanka,Sovereign,Asia,Southern Asia,Sri Lanka,LKA,Developing,,Developing,142,Asia,34,Southern Asia,,,Sri Lanka,144,8346,Sri Lanka,531884.6155,501566.0895,30318.52597,7163.278061,16419.04094,279235.9253,198747.8452,0,94.30,0,1,0,1,has_ocean_deep,TRUE,TRUE,6,1,3,52,37,0,1,1,1,1,0,0,0,1,survey_research,,1,Sri Lanka,Sri Lanka,Lower middle income,1,,3,4,2,2,E,4.25,1.25,1.75,4,5,3,4,5,4,4,3,2,1,3,3,2,1,2,2,2,C
Syria,Sovereign,Asia,Western Asia,Syria,SYR,Developing,,Developing,142,Asia,145,Western Asia,,,Syrian Arab Republic,760,8373,Syria,10229.41717,9267.130793,962.2863824,2604.59004,6662.540753,0,0,0,90.59,0,1,0,1,has_ocean_deep,TRUE,TRUE,9,25,65,0,0,0,1,1,1,1,0,0,0,1,survey_research,,1,Syria,Syria,Low income,1,,3,3,3,3,C,2.40,2.00,3.40,1,4,1,1,3,1,2,3,2,2,4,3,3,2,2,3,3,C
Timor-Leste,Sovereign,Asia,Southeastern Asia,Timor-Leste,TLS,Developing,SIDS,SIDS,142,Asia,35,South-eastern Asia,,,Timor-Leste,626,8758,East Timor,77373.79584,50214.99627,27158.79958,17074.87274,19155.92148,13984.20205,0,0,64.90,0,1,0,1,has_ocean_deep,TRUE,FALSE,35,22,25,18,0,0,1,1,1,1,0,0,0,1,survey_research,,1,Timor-Leste,East Timor,Lower middle income,1,,3,5,2,3,D,4.50,1.50,3.00,1,3,1,1,4,1,3,3,2,1,3,4,3,3,2,4,2,B
Yemen,Sovereign,Asia,Western Asia,Yemen,YEM,Developing,,Developing,142,Asia,145,Western Asia,,,Yemen,887,8353,Yemen,525999.968,473964.5678,52035.40019,55323.14558,91237.40366,245004.3622,82399.65637,0,90.11,0,1,0,1,has_ocean_deep,TRUE,TRUE,10,11,17,47,16,0,1,1,1,1,0,0,0,1,survey_research,,1,Yemen,Yemen,Low income,1,,3,3,3,3,C,2.40,2.00,3.40,2,3,1,1,3,2,3,3,2,2,4,3,3,2,2,3,3,C
Georgia,Sovereign,Asia,Western Asia,Georgia,GEO,Developing,,Developing,142,Asia,145,Western Asia,,,Georgia,268,5678,Georgia,22862.31001,20389.45446,2472.855548,5972.972545,13641.80136,774.6805575,0,0,89.18,0,1,0,1,has_ocean_deep,TRUE,FALSE,11,26,60,3,0,0,2,1,1,1,0,0,0,1,survey_research,,1,Georgia,Georgia,Upper middle income,1,,3,3,3,3,C,2.40,2.00,3.40,2,1,1,3,4,3,2,3,2,2,4,3,3,2,2,3,3,C
Iran,Sovereign,Asia,Southern Asia,Iran,IRN,Developing,,Developing,142,Asia,34,Southern Asia,,,Iran (Islamic Republic of),364,8469,Iran,214551.6553,90830.7034,123720.9519,57677.88196,17790.69305,15362.12839,0,0,42.34,0,1,0,1,has_ocean_deep,FALSE,FALSE,58,27,8,7,0,0,2,1,1,1,0,0,0,1,survey_research,,1,Iran,Iran,Lower middle income,1,,3,4,2,2,E,4.25,1.25,1.75,4,5,3,5,5,2,4,3,2,1,3,3,2,1,2,2,2,C
Jordan,Sovereign,Asia,Western Asia,Jordan,JOR,Developing,,Developing,142,Asia,145,Western Asia,,,Jordan,400,8491,Jordan,92.04937254,75.99645531,16.05291723,75.99645531,0,0,0,0,82.56,0,1,0,1,has_ocean_deep,TRUE,FALSE,17,83,0,0,0,0,2,1,1,1,0,0,0,1,survey_research,,1,Jordan,Jordan,Upper middle income,1,,3,3,3,3,C,2.40,2.00,3.40,2,4,1,3,4,1,4,3,2,2,4,3,3,2,2,3,3,C
Oman,Sovereign,Asia,Western Asia,Oman,OMN,Developing,,Developing,142,Asia,145,Western Asia,,,Oman,512,8354,Oman,555349.6846,502792.1361,52557.54849,23941.7493,30017.30732,428334.9763,20498.10316,0,90.54,0,1,0,1,has_ocean_deep,TRUE,TRUE,9,4,5,77,4,0,2,1,1,1,0,0,0,1,survey_research,,1,Oman,Oman,High income,1,,3,3,3,3,C,2.40,2.00,3.40,3,5,1,4,5,1,4,3,2,2,4,3,3,2,2,3,3,C
Philippines,Sovereign,Asia,Southeastern Asia,Philippines,PHL,Developing,,Developing,142,Asia,35,South-eastern Asia,,,Philippines,608,8322,Philippines,1961424.776,1710625.922,250798.8538,181312.7801,221015.8194,487500.007,748187.4469,72609.86864,87.21,0,1,0,1,has_ocean_deep,TRUE,FALSE,13,9,11,25,38,4,2,1,1,1,0,0,0,1,survey_research,,1,Philippines,Philippines,Lower middle income,1,,3,5,2,3,D,4.50,1.50,3.00,4,5,2,3,5,4,5,3,2,1,3,4,3,3,2,4,2,B
Viet Nam,Sovereign,Asia,Southeastern Asia,Vietnam,VNM,Developing,,Developing,142,Asia,35,South-eastern Asia,,,Viet Nam,704,8484,Vietnam,746736.3893,349116.9028,397619.4864,78974.08474,121480.3163,123520.8137,25141.68804,0,46.75,0,1,0,1,has_ocean_deep,FALSE,FALSE,53,11,16,17,3,0,2,1,1,1,0,0,0,1,survey_research,,1,Viet Nam,Vietnam,Lower middle income,1,,3,5,2,3,D,4.50,1.50,3.00,4,5,3,4,5,3,5,3,2,1,3,4,3,3,2,4,2,B
Bangladesh,Sovereign,Asia,Southern Asia,Bangladesh,BGD,Developing,,Developing,142,Asia,34,Southern Asia,,,Bangladesh,50,8481,Bangladesh,108553.2576,46886.05002,61667.20758,7652.705907,32218.4914,7014.852708,0,0,43.19,0,1,0,1,has_ocean_deep,FALSE,FALSE,57,7,30,6,0,0,3,1,1,1,0,0,0,1,survey_research,,1,Bangladesh,Bangladesh,Lower middle income,1,,3,4,2,2,E,4.25,1.25,1.75,4,5,2,4,5,3,5,3,2,1,3,3,2,1,2,2,2,C
India,Sovereign,Asia,Southern Asia,India,IND,Developing,,Developing,142,Asia,34,Southern Asia,,,India,356,8480,India,2316058.109,1900936.102,415122.0069,136077.3731,388770.4061,1208656.611,167431.7113,0,82.08,0,1,0,1,has_ocean_deep,TRUE,FALSE,18,6,17,52,7,0,3,1,1,1,0,0,0,1,survey_research,,1,India,India,Lower middle income,1,,3,4,2,2,E,4.25,1.25,1.75,4,5,4,5,5,5,4,3,2,1,3,3,2,1,2,2,2,C
Indonesia,Sovereign,Asia,Southeastern Asia,Indonesia,IDN,Developing,,Developing,142,Asia,35,South-eastern Asia,,,Indonesia,360,8492,Indonesia,5965483.59,4113002.628,1852480.962,669954.421,712361.4886,1248628.548,1394553.515,87504.65536,68.95,0,1,0,1,has_ocean_deep,TRUE,FALSE,31,11,12,21,23,1,3,1,1,1,0,0,0,1,survey_research,,1,Indonesia,Indonesia,Lower middle income,1,,3,5,2,3,D,4.50,1.50,3.00,4,5,4,4,5,4,4,3,2,1,3,4,3,3,2,4,2,B
Malaysia,Sovereign,Asia,Southeastern Asia,Malaysia,MYS,Developing,,Developing,142,Asia,35,South-eastern Asia,,,Malaysia,458,8483,Malaysia,504632.5095,122062.288,382570.2216,26495.13951,66255.1839,29311.96454,0,0,24.19,0,1,0,1,has_ocean_deep,FALSE,FALSE,76,5,13,6,0,0,3,1,1,1,0,0,0,1,survey_research,,1,Malaysia,Malaysia,Upper middle income,1,,3,5,2,3,D,4.50,1.50,3.00,4,4,3,5,5,3,4,3,2,1,3,4,3,3,2,4,2,B
Turkey,Sovereign,Asia,Western Asia,Turkey,TUR,Developing,,Developing,142,Asia,145,Western Asia,,,Turkey,792,5697,Turkey,260894.1327,209988.9425,50905.19018,33827.12146,64068.31185,111255.2398,838.2694387,0,80.49,0,1,0,1,has_ocean_deep,TRUE,FALSE,20,13,25,43,0,0,3,1,1,1,0,0,0,1,survey_research,,1,Turkey,Turkey,Upper middle income,1,,3,3,3,3,C,2.40,2.00,3.40,4,5,5,5,5,4,3,3,2,2,4,3,3,2,2,3,3,C
United Arab Emirates,Sovereign,Asia,Western Asia,United Arab Emirates,ARE,Developing,,Developing,142,Asia,145,Western Asia,,,United Arab Emirates,784,8360,United Arab Emirates,51270.64159,942.8188981,50327.82269,914.8917416,27.92715652,0,0,0,1.84,0,1,0,1,has_ocean_deep,FALSE,FALSE,98,2,0,0,0,0,3,1,1,1,0,0,0,1,survey_research,,1,United Arab Emirates,United Arab Emirates,High income,1,,3,3,3,3,C,2.40,2.00,3.40,4,5,4,4,5,5,4,3,2,2,4,3,3,2,2,3,3,C
Cyprus,Sovereign,Asia,Western Asia,Cyprus,CYP,Developed,,Developed,142,Asia,145,Western Asia,,,Cyprus,196,8376,Cyprus,98438.29255,95627.81803,2810.474513,16987.00447,24673.23439,53967.57917,0,0,97.14,0,1,0,1,has_ocean_deep,TRUE,TRUE,3,17,25,55,0,0,4,1,1,1,0,0,0,1,survey_research,,1,Cyprus,Cyprus,High income,1,,3,3,3,3,C,2.40,2.00,3.40,4,5,4,5,5,3,4,3,2,2,4,3,3,2,2,3,3,C
Pakistan,Sovereign,Asia,Southern Asia,Pakistan,PAK,Developing,,Developing,142,Asia,34,Southern Asia,,,Pakistan,586,8359,Pakistan,223013.2301,173896.3808,49116.84926,16433.88396,45573.63216,110904.9518,983.9128474,0,77.98,0,1,0,1,has_ocean_deep,TRUE,FALSE,22,7,20,50,0,0,4,1,1,1,0,0,0,1,survey_research,,1,Pakistan,Pakistan,Lower middle income,1,,3,4,2,2,E,4.25,1.25,1.75,3,4,3,3,5,1,4,3,2,1,3,3,2,1,2,2,2,C
Saudi Arabia,Sovereign,Asia,Western Asia,Saudi Arabia,SAU,Developing,,Developing,142,Asia,145,Western Asia,,,Saudi Arabia,682,8356,Saudi Arabia,218708.5711,126297.4213,92411.14973,93292.41069,31956.90647,1048.104173,0,0,57.75,0,1,0,1,has_ocean_deep,TRUE,FALSE,42,43,15,0,0,0,4,1,1,1,0,0,0,1,survey_research,,1,Saudi Arabia,Saudi Arabia,High income,1,,3,3,3,3,C,2.40,2.00,3.40,4,5,4,5,5,2,5,3,2,2,4,3,3,2,2,3,3,C
Israel,Sovereign,Asia,Western Asia,Israel,ISR,Developed,,Developed,142,Asia,145,Western Asia,,,Israel,376,8375,Israel,24619.37319,21672.48418,2946.889007,4423.841806,17248.4634,0.178976223,0,0,88.03,0,1,0,1,has_ocean_deep,TRUE,FALSE,12,18,70,0,0,0,10,1,1,1,0,0,0,1,survey_research,,1,Israel,Israel,High income,1,,3,3,3,3,C,2.40,2.00,3.40,4,5,3,4,5,2,5,3,2,2,4,3,3,2,2,3,3,C
Republic of Korea,Sovereign,Asia,Eastern Asia,South Korea,KOR,Developing,,Developing,142,Asia,30,Eastern Asia,,,Republic of Korea,410,8327,South Korea,345633.9683,115647.0069,229986.9614,12572.72174,46417.54183,56656.74336,0,0,33.46,0,1,0,1,has_ocean_deep,FALSE,FALSE,67,4,13,16,0,0,11,1,1,1,0,0,0,1,survey_research,,1,Republic of Korea,South Korea,High income,1,,5,5,5,5,A,4.67,5.00,5.00,4,5,5,5,5,4,5,4,2,2,4,4,4,5,2,5,3,B
Jan Mayen,Territory,Europe,Northern Europe,Jan Mayen,,Unclassified,,Unclassified,,,,,,,,,8437,Jan Mayen,259234.8086,257871.7071,1363.101447,9761.432363,39212.45368,208897.8211,0,0,99.47,0,1,0,1,has_ocean_deep,TRUE,TRUE,1,4,15,81,0,0,0,0,0,0,0,0,1,0,no_data,Uninhabited/not permanent,1,Jan Mayen,Norway,Not classified,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bulgaria,Sovereign,Europe,Eastern Europe,Bulgaria,BGR,Developed,,Developed,150,Europe,151,Eastern Europe,,,Bulgaria,100,5672,Bulgaria,34697.46966,22809.96878,11887.50088,3791.638751,13823.92467,5194.405358,0,0,65.74,0,1,0,1,has_ocean_deep,TRUE,FALSE,34,11,40,15,0,0,0,0,1,0,0,1,0,1,research_only,,1,Bulgaria,Bulgaria,Upper middle income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,5,2,5,5,2,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,C
Croatia,Sovereign,Europe,Southern Europe,Croatia,HRV,Developed,,Developed,150,Europe,39,Southern Europe,,,Croatia,191,5673,Croatia,55173.90722,10765.40127,44408.50595,5982.964231,4782.437039,0,0,0,19.51,0,1,0,1,has_ocean_deep,FALSE,FALSE,80,11,9,0,0,0,0,0,1,0,0,1,0,1,research_only,,1,Croatia,Croatia,High income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,5,2,5,5,3,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B
Faroe Islands,Territory,Europe,Northern Europe,Faroe Islands,FRO,Developed,,Developed,150,Europe,154,Northern Europe,,,Faroe Islands,234,8435,Faeroe,265544.2279,238798.2522,26745.97579,102146.6296,61408.82584,75242.79673,0,0,89.93,0,1,0,1,has_ocean_deep,TRUE,FALSE,10,38,23,28,0,0,0,0,1,0,0,1,0,1,research_only,,1,Faroe Islands,Denmark,High income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,4,1,3,3,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,A
Gibraltar,Territory,Europe,Southern Europe,Gibraltar,GIB,Developed,,Developed,150,Europe,39,Southern Europe,,,Gibraltar,292,8365,Gibraltar,387.0724274,345.2790792,41.79334818,345.2790792,0,0,0,0,89.20,0,1,0,1,has_ocean_deep,TRUE,FALSE,11,89,0,0,0,0,0,0,1,0,0,1,0,1,research_only,,1,Gibraltar,United Kingdom,High income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,3,1,1,5,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B
Iceland,Sovereign,Europe,Northern Europe,Iceland,ISL,Developed,,Developed,150,Europe,154,Northern Europe,,,Iceland,352,48975,Iceland,759825.1718,649945.9209,109879.2509,207927.209,312782.1861,129236.5258,0,0,85.54,0,1,0,1,has_ocean_deep,TRUE,FALSE,14,27,41,17,0,0,0,0,1,0,0,1,0,1,research_only,,1,Iceland,Iceland,High income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,4,2,3,5,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,A
Romania,Sovereign,Europe,Eastern Europe,Romania,ROU,Developed,,Developed,150,Europe,151,Eastern Europe,,,Romania,642,5689,Romania,29585.57913,6765.037964,22820.54117,3545.267722,3219.770242,0,0,0,22.87,0,1,0,1,has_ocean_deep,FALSE,FALSE,77,12,11,0,0,0,0,0,1,0,0,1,0,1,research_only,,1,Romania,Romania,Upper middle income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,5,2,5,4,3,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,C
Svalbard,Territory,Europe,Northern Europe,Svalbard,,Unclassified,,Unclassified,,,,,,,,,33181,Svalbard,795012.7095,553527.9175,241484.792,197462.148,77058.00427,263244.4669,15763.29833,0,69.63,0,1,0,1,has_ocean_deep,TRUE,FALSE,30,25,10,33,2,0,0,0,1,0,0,1,0,1,research_only,,1,Svalbard,Norway,Not classified,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,5,4,5,5,2,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,A
